sch,rdg,math,sci,sid,schid
7,12.118,25.418,12.433,5400265,54002
7,16.936,35.244,18.297,5400267,54002
7,15.817,21.941,9.758,5400270,54002
7,20.861,31.692,22.073,5400271,54002
7,15.254,27.082,18.01,5400273,54002
7,20.275,37.752,21.395,5400274,54002
7,12.522,6.882,12.141,5400278,54002
7,14.93,23.912,8.337,5400279,54002
7,4.345,19.268,8.803,5400280,54002
7,20.861,33.608,20.605,5400281,54002
7,11.957,35.988,15.342,5400283,54002
7,8.016,17.187,13.551,5400284,54002
7,9.988,16.305,7.696,5400285,54002
7,19.351,29.218,20.077,5400290,54002
7,19.083,29.834,19.755,5400292,54002
7,9.904,22.844,20.039,5400294,54002
7,18.919,33.786,19.573,5400295,54002
7,12.492,29.093,15.324,5400297,54002
7,12.952,22.995,8.842,5400298,54002
8,14.036,31.645,16.546,5425900,54259
8,11.95,38.035,14.618,5425902,54259
8,18.762,34.171,14.838,5425904,54259
8,20.861,38.229,15.33,5425905,54259
8,14.255,31.713,16.347,5425911,54259
8,20.861,27.078,14.494,5425912,54259
8,16.737,30.548,12.808,5425914,54259
8,17.628,35.942,20.948,5425915,54259
8,18.564,30.467,10.913,5425917,54259
8,20.861,33.796,19.694,5425921,54259
8,18.424,37.828,19.954,5425923,54259
8,13.761,31.942,13.544,5425924,54259
8,16.082,35.621,13.573,5425925,54259
8,16.605,36.681,16.611,5425926,54259
8,20.861,33.785,16.198,5425927,54259
8,20.861,34.517,14.893,5425929,54259
8,18.914,37.48,17.936,5425930,54259
8,17.211,36.57,18.3,5425931,54259
8,18.701,34.956,16.229,5425935,54259
8,19.584,36.723,18.706,5425940,54259
8,9.55,39.91,18.195,5425943,54259
8,19.628,32.019,19.601,5425945,54259
8,20.861,39.91,19.435,5425949,54259
8,20.275,36.823,18.623,5425950,54259
8,13.648,31.568,3.107,5425953,54259
8,5.64,22.993,11.924,5425957,54259
8,14.27,32.477,17.523,5425962,54259
8,16.803,31.756,10.341,5425963,54259
8,14.004,30.112,11.807,5425964,54259
